date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2001-06-01,0.00,-23.85,4550.67,8884.27,0.00,0.35,344.99,426.05,89.28,0.00,0.00,0.00,575.34,0.00,0.00,0.00,0.00,0.00,5815941.36,8249861.29,0.00,370.26,194303.57,210069.71,61075.51,0.00,0.00,978.75,33.03,0.00,517770.34,135469132.42,294896847.50,0.00,27211.46,12369100.72,15357797.50,3103915.43,0.00,0.00,0.00,19495149.63,0.00,0.00,0.00
2001-07-01,0.00,-26.58,4813.41,9502.60,0.00,0.01,321.05,420.94,91.56,0.00,0.00,0.00,486.46,0.00,0.00,0.00,0.00,0.00,6151090.63,8811823.96,0.00,6.42,182233.67,210365.05,58320.57,0.00,0.00,987.47,35.51,0.00,493803.47,184484309.81,272851320.98,0.00,177.88,19986104.71,20144973.48,3871270.15,0.00,0.00,0.00,16384535.15,0.00,0.00,0.00
2001-08-01,0.00,-29.50,4873.98,9238.56,0.00,0.75,301.97,514.21,99.00,0.00,0.00,0.00,429.19,0.00,0.00,0.00,0.00,0.00,6231175.02,8555020.84,0.00,834.87,171299.06,248393.83,64492.03,0.00,0.00,989.83,50.75,0.00,547812.41,310990457.69,306215730.53,0.00,20869.00,24264818.50,32164496.45,6166866.41,0.00,0.00,0.00,28784693.59,0.00,0.00,0.00
2001-09-01,0.00,-15.88,4370.18,8358.99,0.00,0.23,237.50,435.14,92.92,0.00,0.00,0.00,473.60,0.00,0.00,0.00,0.00,0.00,5579052.40,7758620.21,0.00,241.44,135032.52,213116.36,58517.67,0.00,0.00,985.09,26.54,0.00,280552.76,109859986.63,221699718.38,0.00,5413.44,7011106.86,11731125.25,2541521.69,0.00,0.00,0.00,13027871.52,0.00,0.00,0.00
2001-10-01,0.00,-57.62,4181.37,8783.62,0.00,2.03,225.90,502.65,106.63,0.00,0.00,0.00,577.51,0.00,0.00,0.00,0.00,0.00,5401768.92,8138157.32,0.00,2133.11,127874.08,244173.29,71591.56,0.00,0.00,976.51,32.66,0.00,1169959.77,119092385.01,293314589.91,0.00,649649.50,7873173.96,16179668.74,5419025.81,0.00,0.00,0.00,21912235.01,0.00,0.00,0.00
2001-11-01,0.00,-16.15,4093.16,8787.34,0.00,19.47,202.37,338.02,107.77,0.00,0.00,0.00,438.89,0.00,0.00,0.00,0.00,0.00,5259204.09,8132931.49,0.00,20445.47,115497.70,178491.27,77508.20,0.00,0.00,986.63,26.06,0.00,302078.05,104630359.57,220597210.54,0.00,533986.26,7074091.63,9391737.11,3038732.57,0.00,0.00,0.00,13249050.18,0.00,0.00,0.00
2001-12-01,0.00,-27.60,3830.47,9108.44,0.00,44.02,262.52,437.41,104.39,0.00,0.00,0.00,477.02,0.00,0.00,0.00,0.00,0.00,4926462.11,8368753.71,0.00,46211.68,148116.81,216680.59,69332.78,0.00,0.00,967.61,33.84,0.00,580651.13,119664908.08,300456693.89,0.00,1542046.69,10402302.15,13137506.76,4457609.68,0.00,0.00,0.00,25776597.35,0.00,0.00,0.00
2002-01-01,0.00,-48.73,4347.37,9214.16,0.00,19.73,224.65,386.16,130.37,0.00,0.00,0.00,453.61,0.00,0.00,0.00,0.00,0.00,5597938.66,8504619.91,0.00,20716.04,128295.29,196209.91,86648.78,0.00,0.00,986.90,42.40,0.00,895429.43,147544850.30,390048102.19,0.00,1036060.27,9568369.05,14885175.21,5580631.45,0.00,0.00,0.00,20013250.44,0.00,0.00,0.00
2002-02-01,0.00,-45.33,4160.12,8400.73,0.00,25.63,190.68,363.42,102.68,0.00,0.00,0.00,484.91,0.00,0.00,0.00,0.00,0.00,5373125.82,7748154.92,0.00,26904.29,109125.79,183649.89,70952.50,0.00,0.00,987.51,40.34,0.00,779698.62,137665636.40,344054849.46,0.00,1425873.24,7413460.90,13677460.41,5139444.75,0.00,0.00,0.00,22020661.45,0.00,0.00,0.00
2002-03-01,0.00,-21.66,4375.31,9270.01,0.00,12.06,201.83,428.24,82.84,0.00,0.00,0.00,348.52,0.00,0.00,0.00,0.00,0.00,5655989.96,8551790.67,0.00,12679.67,115873.26,212100.34,58464.54,0.00,0.00,993.86,36.31,0.00,363877.69,131996991.04,340517684.92,0.00,713579.14,7415348.25,14277805.23,3854596.85,0.00,0.00,0.00,15673156.92,0.00,0.00,0.00
